tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 7 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 2 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 2 -1073741824 -7
tmp, a, b: 0 -1073741824 -7
tmp, a, b: 7 7 4
tmp, a, b: -7 -1073741824 4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 6 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 4 -1073741824 -6
tmp, a, b: 11 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
tmp, a, b: 4 -1073741824 -11
tmp, a, b: 24 -1073741824 -24
tmp, a, b: 4 -1073741824 -24
tmp, a, b: 4 -1073741824 -24
tmp, a, b: 24 24 4
tmp, a, b: -24 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 -1073741824 -4
tmp, a, b: 2 -1073741824 -4
tmp, a, b: 4 4 4
tmp, a, b: -4 -1073741824 4
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
